Beispieldaten,,,,,,
"Empfohlen oder geschickt von:",Kollegen,"durch ein Inserat",Mitarbeiter,Internet,Mundpropaganda,Referenzen
"Motivation als Simpat zu arbeiten:",Nebenverdienst,"Einblick in die Medizin","Erfahrung mit Rollenspielen",Spass,"Neues kenenlernen",Referenzen
"Erfahrung (Rollenspiele, Theater, usw.)",keine,Theaterauftritte,Kindertheater,Schauspieler,"Rollenspiele in der Schule",Referenzen
"Weitere Informationen:",keine,"Ausbildung Theaterpädagogik","Schauspielausbildung vorhanden",,,Referenzen
Charakterbeschreibung:,"ruhig, gelassen","zurückhaltend, geduldig","neugierig, hartnäckig","ehrgeizig, konsequent","Belastungsfähig, verantwortungsvoll",Persönlichkeitsmerkmale
"Erfahrung im Gesundheitswesen?","gar keine","Medizinisches Praktikum",Pflegepraktikum,"Ausbildung Pflegefachfrau","Praktikum in der Reha",Persönlichkeitsmerkmale
"Familie (Namen der Kinder, Alter,…)","2 Kinder: Hans 12, Fritz 8","1 Kind: Julia 5","keine Kinder","1  Kind: Kevin 2","1 Kind: Ramona 5",Persönlichkeitsmerkmale
"Erkrankungen, Operationen:",Diabetes,keine,"Rektoplatte am Schlüsselbein",Hypertonie,Asthma,Krankengeschichte
"Andere Krankheitszeichen (Bluthochdruck,Herzgeräusche..","geringer Blutdruck",keine,Herzrasen,"hoher Blutdruck","Schmerzen in der Brust",Krankengeschichte
"Aktuelle Medizinische Behandlung:",medikamente,keine,"Schmerzmittel bei Enzündungen",Retardtabletten,Asthmaspray,Krankengeschichte
"Wenn ja Menge:","10 Zigaretten am Tag","1 Packung am Tag","2 Packungen am Tag","5 Zigaretten am Tag","15 Zigaretten am Tag",Krankengeschichte
"Wenn früher, nicht mehr geraucht seit:","2 jahren","6 Monaten","1 jahr","5 jahren","3 jahren",Krankengeschichte
"Wenn ja Menge:","täglich 2-3l Bier","1 Flasche Wein täglich","nur an Wochenenden","Bier am Feierabend","starker Alkoholiker",Krankengeschichte
"Wenn nein früher mehr getrunken seit:","2 jahren","6 Monaten","1 jahr","5 jahren","3 jahren",Krankengeschichte
"Körperteil, der nicht untersucht werden darf:",Füsse,Genitalien,Beine,mund/Rachen,Ohren,Krankengeschichte
"Ungeeignete Rollen:","Schwangere Frau",keine,Krebserkrankungen,Knochenbrüche,Atemwegserkrankungen,Krankengeschichte
"Interesse an bestimmten Rollen:",keine,keine,Knochenbrüche,Krebserkrankungen,Pflegeanamnese,Krankengeschichte
"Wie haben Sie sich beim Spielen der Rolle gefühlt?",gut,unsicher,"sehr gut",schlecht,"sehr schlecht","Nach dem Rollenspiel"
"Interessiert es sie immer noch, Simulationspatient zu werden?",ja,eventuell,"auf jeden fall",nein,"sicherlich nicht","Nach dem Rollenspiel"
Bemerkungen,keine,keine,"gut geeignet","zu zurückhaltend","überhaupt nicht geeignet","Evaluation für den internen Gebrauch"
Stärken,konzentiert,geuldig,"gute Schauspielfähigkeiten",ehrgeizig,keine,"Evaluation für den internen Gebrauch"
Schwächen,"zu ruhig","viel zu zurückhaltend",hartnäckig,keine,"zu Scheu","Evaluation für den internen Gebrauch"
"Verfügbarkeit: (z.B. bestimmte Wochentage, oder Tageszeiten wie vormittags oder nachmittags):","nur Montags","die ganze Woche","Immer nachmittags","nur vormittags","nur am Dienstag und Freitag",Stammdaten
"Was hat Sie bewogen, an unserem Simulationspatientenprogramm mitzuwirken?","Interesse an der medizin","nur zum Spass","Schauspielerische Erfahrung",Nebenverdienst,Zufall,Stammdaten
"Wenn ja, mit wie vielen Stellenprozent ?",40,50,100,90,80,Stammdaten
"Welches ist Ihre aktuelle Hauptbeschäftigung?",Schreiner,Kauffrau,"Arbeit im Kindertheater",Schauspieler,Student,Stammdaten
"Beschreiben Sie hier kurz die Qualität Ihrer Erfahrungen im Gesundheitswesen (Ärzte, Pflegepersonal, eigene Krankengeschichte):","kaum Erfahrung","Gute Erfahrungen durch das medizinische Praktikum","Gute Erfahrungen im Bereich Pflegepersonal","sehr gute Erfahrung/Ketnisse im Pflegebereich","leichte Erfahrung im persönlichen Krankheitsbereich",Stammdaten
"Haben Sie noch eine Bemerkung?",nein,"war eine Interessante Erfahrung","hat Spass gemacht",nein,nein,Stammdaten
